topic,description,region,category,subcategory,source
Nautanki,"Folk operatic theater tradition from Uttar Pradesh featuring loud and rhythmic singing, dramatic dialogues, and social commentary.",Uttar Pradesh,Performing Arts,Folk Theater,Sangeet Natak Akademi
Jatra,"Bengali folk theater tradition performed in open-air stages, featuring melodramatic acting, singing, and dancing to depict mythological and historical stories.",West Bengal,Performing Arts,Folk Theater,West Bengal Tourism
Powada,"Marathi ballad form narrating stories of historical heroes and events, traditionally performed by shahirs (folk poets) with musical accompaniment.",Maharashtra,Performing Arts,Storytelling,Sangeet Natak Akademi
Burrakatha,"Storytelling tradition from Andhra Pradesh where performers narrate tales using song, dance, and dialogue while playing instruments like tambura and tala.",Andhra Pradesh,Performing Arts,Storytelling,Sangeet Natak Akademi
Pandavani,"Traditional performing art from Chhattisgarh where a single artist narrates tales from the Mahabharata, playing multiple characters with dramatic expressions.",Chhattisgarh,Performing Arts,Storytelling,Sangeet Natak Akademi
Harikatha,"Traditional religious discourse combining storytelling, music, and philosophy, especially popular in Tamil Nadu and Andhra Pradesh.",South India,Performing Arts,Religious Discourse,Sangeet Natak Akademi
Qawwali,"Devotional Sufi music tradition featuring rhythmic singing, hand clapping, and harmonium accompaniment to express divine love.",North India,Performing Arts,Music,Sangeet Natak Akademi
Thumri,Light classical vocal music form from North India expressing romantic or devotional themes with greater flexibility than classical forms.,North India,Performing Arts,Music,Sangeet Natak Akademi
Gurbani Kirtan,"Devotional music tradition of the Sikhs involving singing of hymns from the Guru Granth Sahib, accompanied by harmonium and tabla.",Punjab,Performing Arts,Religious Music,Sangeet Natak Akademi
Sopanam,"Traditional temple music of Kerala performed during rituals and accompanying Kathakali performances, characterized by slow tempo and devotional mood.",Kerala,Performing Arts,Temple Music,Kerala Tourism Department
Dhamal,Energetic folk dance from Kashmir performed by men in circular formation with vigorous movements and jumps to the rhythm of drums.,Kashmir,Performing Arts,Folk Dance,Jammu & Kashmir Tourism
Dollu Kunitha,"Drum dance from Karnataka performed by men carrying decorated drums suspended from their necks, featuring synchronized movements and formations.",Karnataka,Performing Arts,Folk Dance,Karnataka Tourism Department
Dalkhai,"Traditional tribal dance from western Odisha performed by young women during harvest season, featuring graceful movements and romantic themes.",Odisha,Performing Arts,Folk Dance,Odisha Tourism Development Corporation
Rauf,"Traditional Kashmiri dance performed by women in two rows facing each other, featuring gentle swaying movements and melodious singing.",Kashmir,Performing Arts,Folk Dance,Jammu & Kashmir Tourism
Lambadi Dance,Vibrant tribal dance of the nomadic Lambadi community featuring women in colorful embroidered costumes with mirror work and heavy jewelry.,Telangana,Performing Arts,Tribal Dance,Telangana Tourism Development Corporation
Mayilattam,Peacock dance from Tamil Nadu where performers mimic peacock movements wearing costumes with peacock feathers and elaborate headgear.,Tamil Nadu,Performing Arts,Folk Dance,Tamil Nadu Tourism Development Corporation
Karakattam,"Traditional folk dance from Tamil Nadu performed balancing a pot on the head, featuring rapid movements to the rhythm of urumi melam drums.",Tamil Nadu,Performing Arts,Folk Dance,Tamil Nadu Tourism Development Corporation
Dekhni,"Graceful dance form from Goa blending Hindu and Portuguese influences, performed by women with flowing movements and romantic themes.",Goa,Performing Arts,Folk Dance,Goa Tourism Development Corporation
Thiruvathirakali,"Women's circle dance from Kerala performed during the Thiruvathira festival, characterized by graceful movements around a traditional lamp.",Kerala,Performing Arts,Folk Dance,Kerala Tourism Department
Raas Leela,"Traditional dance drama from Manipur depicting the divine love between Krishna and the gopis, performed with classical movements and devotional music.",Manipur,Performing Arts,Dance Drama,Sangeet Natak Akademi
Bommalattam,Traditional string puppet theater from Tamil Nadu featuring wooden puppets with jointed limbs controlled by strings to enact mythological stories.,Tamil Nadu,Performing Arts,Puppet Theater,Tamil Nadu Tourism Development Corporation
Togalu Gombeyaata,Shadow puppet theater tradition from Karnataka using leather puppets to narrate episodes from the Ramayana and Mahabharata.,Karnataka,Performing Arts,Puppet Theater,Karnataka Tourism Department
Yakshaganam,"Traditional dance-drama from Kerala combining elements of dance, music, and theater to depict stories from Hindu epics.",Kerala,Performing Arts,Dance Drama,Kerala Tourism Department
Dashavatar,Traditional mask dance drama from Goa and Konkan region depicting the ten incarnations of Lord Vishnu through elaborate costumes and movements.,Goa,Performing Arts,Dance Drama,Goa Tourism Development Corporation
Silambam,"Ancient martial art form from Tamil Nadu using bamboo staffs for combat, featuring intricate footwork and defensive techniques.",Tamil Nadu,Performing Arts,Martial Art,Tamil Nadu Tourism Development Corporation
Mardani Khel,"Traditional martial art form from Maharashtra using various weapons like swords, sticks, and shields, historically practiced by the Maratha warriors.",Maharashtra,Performing Arts,Martial Art,Maharashtra Tourism Development Corporation
Pari Khanda,"Traditional sword and shield martial art from Bihar, featuring aggressive offensive techniques and strategic defensive movements.",Bihar,Performing Arts,Martial Art,Bihar Tourism Development Corporation
Iniyum,"Traditional martial art form from Kerala using flexible sword-like weapons made from hardened leather, featuring fluid movements and precision strikes.",Kerala,Performing Arts,Martial Art,Kerala Tourism Department
Kolkali,"Traditional folk art form from Kerala where performers move in a circle with small sticks, creating rhythmic sounds while executing synchronized movements.",Kerala,Performing Arts,Folk Dance,Kerala Tourism Department
Jhijhiya,Folk dance from Bihar performed by men balancing earthen lamps on their heads while dancing to invoke blessings for good harvest and rainfall.,Bihar,Performing Arts,Folk Dance,Bihar Tourism Development Corporation
Karma Dance,"Tribal dance from Jharkhand, Chhattisgarh, and Odisha performed around the Karma tree during the Karma festival for good harvest.",Jharkhand,Performing Arts,Tribal Dance,Jharkhand Tourism Development Corporation
Gaur Maria Dance,"Tribal dance from Bastar region of Chhattisgarh performed during festivals and celebrations, featuring vibrant costumes and rhythmic movements.",Chhattisgarh,Performing Arts,Tribal Dance,Chhattisgarh Tourism Board
Bardoli,"Traditional folk dance from Gujarat performed by the Adivasi communities during harvest festivals, featuring circular formations and stick movements.",Gujarat,Performing Arts,Tribal Dance,Gujarat Tourism Corporation
Jawara,"Ceremonial dance of the Gond tribe in Madhya Pradesh performed during the germination festival, featuring symbolic movements related to agriculture.",Madhya Pradesh,Performing Arts,Tribal Dance,Madhya Pradesh Tourism Board
Pachoti,"Traditional marriage dance from Assam performed by women forming a circle around the bride, featuring graceful movements and traditional songs.",Assam,Performing Arts,Folk Dance,Assam Tourism Development Corporation
Laho,"Traditional dance form from Himachal Pradesh performed during the Lahaul festival, featuring men and women dancing in rows with linked arms.",Himachal Pradesh,Performing Arts,Folk Dance,Himachal Pradesh Tourism Development Corporation
Bidesia,Folk theater tradition from Bihar expressing the pain of separation experienced by migrant workers and their families through song and dance.,Bihar,Performing Arts,Folk Theater,Bihar Tourism Development Corporation
Bhand Pather,"Traditional theater form from Kashmir combining dance, music, and satire to comment on social and political issues, performed in open-air spaces.",Kashmir,Performing Arts,Folk Theater,Jammu & Kashmir Tourism
Ankia Naat,"Traditional theater form from Assam created by Sankardeva, featuring religious themes, masked characters, and classical music.",Assam,Performing Arts,Theater,Assam Tourism Development Corporation
Dashain,"Major festival celebrated by Nepali communities in Sikkim and Darjeeling, featuring animal sacrifices, family gatherings, and blessing ceremonies.",Sikkim,Festival,Religious Festival,Sikkim Tourism Department
Narali Purnima,Coastal festival in Maharashtra where fishermen worship the sea and offer coconuts before resuming fishing activities after the monsoon.,Maharashtra,Festival,Community Festival,Maharashtra Tourism Development Corporation
Mahamastakabhisheka,"Grand head anointing ceremony of the Bahubali statue at Shravanabelagola performed once every 12 years, drawing thousands of Jain devotees.",Karnataka,Festival,Religious Festival,Karnataka Tourism Department
Sarhul,Spring festival of the Oraon tribe in Jharkhand worshipping the Sal tree and celebrating the marriage of earth with the sky.,Jharkhand,Festival,Tribal Festival,Jharkhand Tourism Development Corporation
Wari,"Annual pilgrimage procession from Alandi to Pandharpur in Maharashtra, where devotees carry the palanquin of Sant Dnyaneshwar to Lord Vitthal's temple.",Maharashtra,Festival,Religious Festival,Maharashtra Tourism Development Corporation
Chapchar Kut,"Spring festival of Mizoram celebrated after clearing jungle areas for jhum cultivation, featuring bamboo dance performances, traditional games, and community feasting.",Mizoram,Festival,Spring Festival,North East Zone Cultural Centre
Rabari Embroidery,"Intricate mirror and thread work tradition of the nomadic Rabari community, featuring bold geometric patterns and symbolic motifs on textiles and garments. Characterized by chain stitch, mirror work (shisha), and vibrant colors that reflect their desert heritage and mythology through motifs like peacocks, camels, elephants, and the tree of life.",Gujarat,Art Form,Traditional Craft,National Crafts Museum
Kurumba Honey Harvesting,"Tribal practice of harvesting wild honey from cliffs using traditional rope ladders and smoke techniques, preserving ecological balance.",Tamil Nadu,Traditional Knowledge,Agricultural Practice,Anthropological Survey of India
Toda Buffalo Sacrifice,Ritual ceremony of the Toda tribe offering buffalo to nature deities for community welfare and ecological balance.,Tamil Nadu,Ritual,Tribal Ritual,Anthropological Survey of India
Saura Tribal Calendar,Pictorial calendar system of the Saura tribe using symbolic representations of lunar cycles and agricultural activities.,Odisha,Knowledge System,Tribal Astronomy,Sahitya Akademi
Lai Haraoba Creation Dance,Ritual dance of Manipur reenacting cosmic creation through symbolic gestures and movements performed by maibas (priests).,Manipur,Performing Arts,Ritual Dance,Sangeet Natak Akademi
Kashmiri Samovar Craft,"Traditional copper kettle making in Srinagar using repoussé techniques, maintaining 500-year-old metalworking traditions.",Kashmir,Art Form,Traditional Craft,National Crafts Museum
Mishing Bihu Husori,Unique Assamese New Year tradition where young men visit homes singing Bihu songs and blessing households.,Assam,Festival,Spring Festival,Assam Tourism Development Corporation
Tulunadu Bootha Kola,Spirit worship ritual of coastal Karnataka featuring elaborate costumes and trance dances to honor ancestral deities.,Karnataka,Ritual,Tribal Ritual,Karnataka Tourism Department
Parsi Sudreh-Kushti,"Sacred woolen vestment and girdle worn by Zoroastrians, symbolizing spiritual armor against evil forces.",Gujarat,Custom,Religious Attire,Anthropological Survey of India
Pang Lhabsol Mask Making,Traditional craft of creating elaborate papier-mâché masks depicting Buddhist deities for monastery festivals.,Sikkim,Art Form,Ritual Craft,Sikkim Tourism Department
Warli Tribal Marriage,Adivasi wedding ceremony featuring symbolic arrow shooting and collective participation of the entire village.,Maharashtra,Ritual,Life Cycle Ceremony,Anthropological Survey of India
Kashmiri Nomadic Gujjars,Seasonal migration traditions of buffalo-herding communities adapting to Himalayan climate patterns.,Jammu & Kashmir,Social Structure,Pastoral Life,Anthropological Survey of India
Kutchhi Rabari Silverwork,"Intricate silver jewelry crafting using lost-wax casting, featuring symbolic motifs of fertility and protection.",Gujarat,Art Form,Traditional Craft,National Crafts Museum
Mappila Paattu,Islamic devotional music tradition of Kerala blending Arab melodic patterns with Malayalam poetic verses.,Kerala,Performing Arts,Religious Music,Sangeet Natak Akademi
Toda Dairy Rituals,Sacred dairy management system maintaining ritual purity in milk production and distribution.,Tamil Nadu,Ritual,Food Ritual,Anthropological Survey of India
Karbi Bamboo Dance,Tribal dance form from Assam performed on bamboo poles during harvest celebrations.,Assam,Performing Arts,Tribal Dance,North East Zone Cultural Centre
Naga Stone Pulling Ceremony,Community event commemorating historical events through collective dragging of megalithic stones.,Nagaland,Ritual,Community Ritual,Anthropological Survey of India
Santal Jhika Dance,Harvest dance of the Santhal tribe featuring rhythmic stomping and symbolic agricultural movements.,Jharkhand,Performing Arts,Tribal Dance,Jharkhand Tourism Development Corporation
Kerala Snake Boat Race,Annual Vallam Kali competitions featuring 100-foot-long traditional chundan vallams (war boats).,Kerala,Festival,Sports Festival,Kerala Tourism Department
Kashmiri Shawl Weaving,"Intricate kani technique creating paisley patterns with bobbins, preserving 15th-century Mughal-era designs.",Kashmir,Art Form,Traditional Craft,National Crafts Museum
Toda Funeral Songs,"Polyphonic lamentations sung during funeral processions, maintaining unique tonal patterns.",Tamil Nadu,Performing Arts,Tribal Music,Sangeet Natak Akademi
Mizo Cheraw Dance,"Bamboo dance performed at festivals, requiring precise footwork between clashing bamboo poles.",Mizoram,Performing Arts,Folk Dance,North East Zone Cultural Centre
Konyak Skull Tattoos,Traditional facial tattoos marking warrior status and tribal identity among elder Konyak Nagas.,Nagaland,Art Form,Body Art,Anthropological Survey of India
Kashmiri Wazwan Feast,36-course ceremonial meal preparation preserving Mughal culinary techniques and community dining etiquette.,Kashmir,Cuisine,Regional Cuisine,Jammu & Kashmir Tourism
Toda Bark Cloth,"Traditional garment-making using elastic inner bark of Indian elm tree, processed through ancient techniques.",Tamil Nadu,Art Form,Tribal Craft,National Crafts Museum
Karbi Bamboo Caskets,Ritual container weaving using specific bamboo species for storing ancestral remains.,Assam,Art Form,Tribal Craft,National Crafts Museum
Santal Jadur Khela,"Traditional Santal board game using seeds and pits, teaching mathematical skills and strategy.",Jharkhand,Social Practice,Traditional Game,Anthropological Survey of India
Kodava Hockey Festival,Unique annual hockey tournament played with hand-carved wooden sticks during harvest celebrations.,Karnataka,Festival,Sports Festival,Karnataka Tourism Department
Toda Sacred Buffalo,Selective breeding and ritual care of dairy buffaloes considered embodiments of divine energy.,Tamil Nadu,Traditional Knowledge,Animal Husbandry,Anthropological Survey of India
Kashmiri Khatamband,Ancient geometric wood ceiling art using interlocking pieces without nails or glue.,Kashmir,Architecture,Wood Craft,National Crafts Museum
Ladakhi Perak,"Traditional headdress adorned with turquoise stones, indicating family wealth and social status.",Ladakh,Art Form,Traditional Jewelry,National Crafts Museum
Mappila Oppana,Women's circle dance performed at weddings with clapping and swaying movements to Mappila songs.,Kerala,Performing Arts,Folk Dance,Kerala Tourism Department
Konyak Log Drum,Hollowed tree trunk percussion instrument used for village communication and ceremonial purposes.,Nagaland,Art Form,Musical Instrument,North East Zone Cultural Centre
Santal Baha Porob,Flower festival celebrating spring through nature worship and traditional dance ceremonies.,Jharkhand,Festival,Spring Festival,Jharkhand Tourism Development Corporation
Kashmiri Naqashi,Intricate wood carving technique creating floral patterns on walnut wood furniture and artifacts.,Kashmir,Art Form,Traditional Craft,National Crafts Museum
Toda Dairy Songs,Polyphonic songs sung during milking rituals to maintain rhythmic milking patterns.,Tamil Nadu,Performing Arts,Tribal Music,Sangeet Natak Akademi
Mishing Ali-Aye Ligang,"Spring festival celebrating sowing season with traditional food, dance, and buffalo fights.",Assam,Festival,Spring Festival,Assam Tourism Development Corporation
Karbi Chojun Pata,Traditional bamboo fencing technique creating intricate geometric patterns for village borders.,Assam,Architecture,Tribal Structure,Anthropological Survey of India
Santal Dhodha Banam,"Single-string tribal fiddle crafted from coconut shell and bamboo, used in ritual storytelling.",Jharkhand,Art Form,Musical Instrument,National Crafts Museum
Konyak Morung System,Youth dormitories serving as centers for transmitting tribal history and combat skills.,Nagaland,Social Structure,Educational System,Anthropological Survey of India
Toda Embroidery Geometrics,Distinctive red and black thread work creating symbolic patterns representing hills and buffalo.,Tamil Nadu,Art Form,Tribal Craft,National Crafts Museum
Kashmiri Papier-Mâché,Delicate craft creating decorative items using paper pulp and mineral-based paints in floral patterns.,Kashmir,Art Form,Traditional Craft,National Crafts Museum
Mappila Muttu,Traditional percussion performance using oval-shaped drums during wedding processions.,Kerala,Performing Arts,Music,Kerala Tourism Department
Santal Sohrai Art,Harvest festival wall paintings using natural pigments to depict animals and tribal life.,Jharkhand,Art Form,Folk Art,National Crafts Museum
Karbi Rongker,Annual festival invoking deities for protection through ritual fencing and animal sacrifice.,Assam,Festival,Religious Festival,Assam Tourism Development Corporation
Toda Funeral Architecture,Barrel-vaulted funeral huts constructed with specific grasses and bamboo.,Tamil Nadu,Architecture,Tribal Structure,Archaeological Survey of India
Konyak Angh System,Traditional chieftain governance structure maintaining tribal laws and resource distribution.,Nagaland,Social Structure,Governance System,Anthropological Survey of India
Kashmiri Gabbah Weaving,Traditional rug-making using symmetrical knotting technique passed down through generations.,Kashmir,Art Form,Traditional Craft,National Crafts Museum
Mappila Arabi-Malayalam,Unique literary tradition blending Arabic script with Malayalam language for religious texts.,Kerala,Language,Hybrid Script,Sahitya Akademi
Santal Binti Dance,Stick dance performed during harvest festivals symbolizing unity and agricultural harmony.,Jharkhand,Performing Arts,Tribal Dance,Jharkhand Tourism Development Corporation
Toda Moon Calendar,Lunar-based calendar system determining agricultural and ritual activities through celestial observations.,Tamil Nadu,Knowledge System,Tribal Astronomy,Sahitya Akademi
Karbi Chomangkan Death Ritual,Week-long funeral ceremonies featuring bamboo pole rituals and ancestral invocations.,Assam,Ritual,Life Cycle Ceremony,Anthropological Survey of India
Konyak Head Trophy Rack,Traditional display of animal skulls and horns marking hunting prowess and status.,Nagaland,Architecture,Tribal Structure,Anthropological Survey of India
Kashmiri Pashmina Combing,Traditional wool processing using porcupine quills to separate fine pashmina fibers.,Kashmir,Art Form,Traditional Craft,National Crafts Museum
Mappila Mappilapattu,Islamic folk songs blending Arab and Malayalam musical traditions for wedding celebrations.,Kerala,Performing Arts,Folk Music,Sangeet Natak Akademi
Santal Jogor Dance,Acrobatic dance performed on stilts during spring festivals symbolizing elevation from worldly troubles.,Jharkhand,Performing Arts,Tribal Dance,Jharkhand Tourism Development Corporation
Toda Hydraulic Systems,Ancient irrigation network using bamboo pipes and gravity flow for hill agriculture.,Tamil Nadu,Traditional Knowledge,Water Management,Anthropological Survey of India
Karbi Rongphar,Traditional community hall architecture using interlocking bamboo construction techniques.,Assam,Architecture,Tribal Structure,Archaeological Survey of India
Konyak Bamboo Mug Craft,Traditional vessel making using bamboo joints and natural sealing techniques.,Nagaland,Art Form,Tribal Craft,National Crafts Museum
Kashmiri Kanger Craft,Traditional fire pot weaving using willow wicker and clay lining for winter heating.,Kashmir,Art Form,Traditional Craft,National Crafts Museum
Mappila Nercha Festival,Communal feasts commemorating Sufi saints with ritual food distribution and processions.,Kerala,Festival,Religious Festival,Kerala Tourism Department
Santal Baha Bonga,Tree worship ritual performed before spring hunting season for forest conservation.,Jharkhand,Ritual,Environmental Ritual,Anthropological Survey of India
Toda Dairy Prohibition,Sacred restrictions preventing commercial exploitation of ritual dairy products.,Tamil Nadu,Social Practice,Food Taboo,Anthropological Survey of India
Karbi Hemphu Worship,Ancestral deity worship through symbolic bamboo structures and ritual dance performances.,Assam,Ritual,Tribal Ritual,Assam Tourism Development Corporation
Konyak Blacksmith Rituals,Sacred metalworking practices invoking ancestral spirits through forge fire ceremonies.,Nagaland,Ritual,Artisan Ritual,Anthropological Survey of India
Kashmiri Walnut Carving,Intricate hand-carved furniture making preserving 300-year-old design motifs.,Kashmir,Art Form,Traditional Craft,National Crafts Museum
Mappila Arabana Dance,Men's group dance performed with synchronized steps and hand clapping during festivals.,Kerala,Performing Arts,Folk Dance,Kerala Tourism Department
Santal Bir Babu Worship,Guardian spirit rituals involving bloodless offerings and sacred grove preservation.,Jharkhand,Ritual,Tribal Ritual,Jharkhand Tourism Development Corporation
Toda Tattoo Therapy,Traditional medicinal practice using tattoo patterns for pain relief and spiritual healing.,Tamil Nadu,Traditional Medicine,Tribal Medicine,"Ministry of AYUSH, Government of India"
Karbi Jambili Athan,Winter festival celebrating completed harvest with community bonfires and rice beer brewing.,Assam,Festival,Harvest Festival,Assam Tourism Development Corporation
Konyak Seed Selection,Traditional agricultural practice preserving heirloom crop varieties through ritual selection.,Nagaland,Traditional Knowledge,Agricultural Practice,Anthropological Survey of India
Kashmiri Sozni Embroidery,Fine needlework creating intricate paisley patterns on shawls using silk threads.,Kashmir,Art Form,Traditional Craft,National Crafts Museum
Mappila Mala,Traditional gold necklace design featuring Arabic calligraphy motifs in filigree work.,Kerala,Art Form,Traditional Jewelry,National Crafts Museum
Santal Lagre Bonga,Forest deity worship through night-long dances and symbolic animal sacrifices.,Jharkhand,Ritual,Tribal Ritual,Jharkhand Tourism Development Corporation
Toda Buffalo Milk Taboos,Ritual restrictions governing milk consumption based on clan relationships.,Tamil Nadu,Social Practice,Food Taboo,Anthropological Survey of India
Karbi Longri,Traditional judiciary system resolving disputes through community councils and symbolic oath-taking.,Assam,Social Structure,Legal System,Anthropological Survey of India
Konyak Ancestral Pillars,Carved wooden memorial posts honoring deceased warriors and community leaders.,Nagaland,Architecture,Tribal Structure,Archaeological Survey of India
Kashmiri Gurgurra Weaving,Traditional wool spinning using handheld spindles to create fine yarn for shawls.,Kashmir,Art Form,Traditional Craft,National Crafts Museum
Mappila Parappu,Traditional gold waistbelt craftsmanship featuring intricate geometric patterns.,Kerala,Art Form,Traditional Jewelry,National Crafts Museum
Santal Dhodha Basa,Sacred grove rituals maintaining biodiversity through animistic conservation practices.,Jharkhand,Traditional Knowledge,Environmental Practice,Anthropological Survey of India
Toda Clan Markings,Distinctive tattoo patterns identifying clan membership and social status.,Tamil Nadu,Art Form,Body Art,Anthropological Survey of India
Karbi Veneration Stones,Ancient megalithic structures worshipped as embodiments of ancestral spirits.,Assam,Architecture,Tribal Structure,Archaeological Survey of India
Konyak Rainmaking Ritual,Ceremonial dances and chants performed during droughts to invoke rainfall.,Nagaland,Ritual,Weather Ritual,Anthropological Survey of India
Kashmiri Kani Loom,Traditional pit loom weaving technique creating intricate shawl patterns with bobbins.,Kashmir,Art Form,Traditional Craft,National Crafts Museum
Mappila Kolkali,Men's stick dance performed in rhythmic circles during religious festivals.,Kerala,Performing Arts,Folk Dance,Kerala Tourism Department
Santal Janthar Baha,Collective fishing ritual followed by community feast celebrating river resources.,Jharkhand,Ritual,Food Ritual,Jharkhand Tourism Development Corporation
Toda Moon Worship,Rituals performed during lunar phases to ensure dairy prosperity and clan health.,Tamil Nadu,Ritual,Celestial Ritual,Anthropological Survey of India
Karbi Bamboo Death Mask,Ceremonial masks crafted for funeral rituals representing ancestral spirits.,Assam,Art Form,Ritual Craft,National Crafts Museum
Konyak Fertility Dolls,Carved wooden figurines used in rituals to ensure family prosperity and healthy offspring.,Nagaland,Art Form,Ritual Craft,National Crafts Museum
Kashmiri Namda Craft,Traditional felted rug making using sheep wool and natural dyes.,Kashmir,Art Form,Traditional Craft,National Crafts Museum
Mappila Mylanchi,Henna application rituals with intricate designs during wedding ceremonies.,Kerala,Custom,Beauty Tradition,Kerala Tourism Department
Santal Baha Bihu,Unique spring festival blending Santal and Assamese traditions through dance and music.,Assam,Festival,Spring Festival,Assam Tourism Development Corporation
Toda Funeral Poetry,Improvised poetic lamentations recited during burial processions.,Tamil Nadu,Literature,Tribal Poetry,Sahitya Akademi
Karbi Ritual Tattooing,Sacred tattooing ceremony marking transition into adulthood.,Assam,Art Form,Body Art,Anthropological Survey of India
Konyak Bamboo Timekeeping,Traditional time measurement system using bamboo water clocks.,Nagaland,Knowledge System,Tribal Chronometry,Sahitya Akademi
Kashmiri Haenz,Traditional wooden ceiling panels carved with geometric Islamic patterns.,Kashmir,Architecture,Residential Architecture,Archaeological Survey of India
Mappila Arabana,Traditional gold nose ring design featuring filigree work and pendant pearls.,Kerala,Art Form,Traditional Jewelry,National Crafts Museum
Santal Jhika Painting,Ritual floor art created during harvest festivals using rice paste and natural dyes.,Jharkhand,Art Form,Folk Art,National Crafts Museum
Toda Sacred Dairy Language,Secret vocabulary used exclusively during milking and dairy rituals.,Tamil Nadu,Language,Tribal Dialect,Sahitya Akademi
Karbi Bamboo Grain Storage,Traditional raised granaries protecting crops from pests and moisture.,Assam,Architecture,Tribal Structure,Archaeological Survey of India
Konyak Bamboo Pipeline,Ancient irrigation system channeling hill streams through split bamboo conduits.,Nagaland,Traditional Knowledge,Water Management,Anthropological Survey of India
Kashmiri Pheran Embroidery,Traditional cloak decoration using aari needlework in floral patterns.,Kashmir,Art Form,Traditional Craft,National Crafts Museum
Mappila Kinnaram,Traditional percussion instrument made from clay pot and goat skin.,Kerala,Art Form,Musical Instrument,National Crafts Museum
Santal Birhor Leaf Hut,Nomadic dwelling construction using sal leaves and bamboo.,Jharkhand,Architecture,Tribal Structure,Archaeological Survey of India
Kerala Kalam,Mural painting tradition using natural pigments depicting Hindu mythology in temples and palaces.,Kerala,Art Form,Mural Art,Kerala Tourism Department
Sikkimese Thangka,Religious scroll paintings of Buddhist deities using mineral pigments and gold dust.,Sikkim,Art Form,Religious Art,Sikkim Tourism Department
Toda Nalava,Traditional flute music played during dairy rituals and ceremonies.,Tamil Nadu,Performing Arts,Tribal Music,Sangeet Natak Akademi
Bhutia Losar,Tibetan New Year celebration with masked dances and butter lamp offerings.,Sikkim,Festival,Spring Festival,Sikkim Tourism Department
Koli Dance,Fisherfolk dance of Maharashtra mimicking net casting and boat rowing movements.,Maharashtra,Performing Arts,Folk Dance,Maharashtra Tourism
Banjara Embroidery,Nomadic community's vibrant thread and mirror work on textiles.,Telangana,Art Form,Tribal Craft,National Crafts Museum
Chang Lo,Naga warrior dance commemorating historical battles with spears and shields.,Nagaland,Performing Arts,Tribal Dance,North East Zone Cultural Centre
Khadhi Weaving,Traditional handspun cotton textile production using Gandhi-era techniques.,Gujarat,Art Form,Traditional Craft,National Crafts Museum
Parsi Wedding Navjote,Sacred thread ceremony marking Zoroastrian initiation into faith.,Gujarat,Ritual,Life Cycle Ceremony,Anthropological Survey of India
Kashmiri Haq Seer,Traditional winter herb preservation technique using walnut oil.,Kashmir,Cuisine,Food Preservation,Jammu & Kashmir Tourism
Toda Milking Songs,Polyphonic songs synchronizing collective milking rhythms.,Tamil Nadu,Performing Arts,Tribal Music,Sangeet Natak Akademi
Mappila Cuisine,Malabar Muslim culinary tradition blending Arab and Kerala flavors.,Kerala,Cuisine,Regional Cuisine,Kerala Tourism Department
Santhal Baha,Spring flower festival with nature worship and tribal dances.,Jharkhand,Festival,Spring Festival,Jharkhand Tourism
Rabari Silver Jewelry,Intricate nomadic jewelry making using lost-wax casting.,Rajasthan,Art Form,Traditional Craft,National Crafts Museum
Konyak Angh,Traditional chieftain system of tribal governance and justice.,Nagaland,Social Structure,Governance System,Anthropological Survey of India
Kashmiri Wazwan,36-course ceremonial feast preparation and serving etiquette.,Kashmir,Cuisine,Royal Cuisine,Jammu & Kashmir Tourism
Tulunadu Bhuta Kola,Night-long spirit worship ritual with oracle dances.,Karnataka,Ritual,Tribal Ritual,Karnataka Tourism
Mishing Bihu Husori,Assamese New Year carol singing tradition by youth groups.,Assam,Festival,Spring Festival,Assam Tourism
Santal Jhika,Stilt dancing ritual symbolizing elevation above worldly troubles.,Jharkhand,Performing Arts,Tribal Dance,Sangeet Natak Akademi
Karbi Chomangkan,Elaborate 7-day funeral rites with bamboo pole rituals.,Assam,Ritual,Life Cycle Ceremony,Anthropological Survey of India
Lepcha Bamboo Craft,Sustainable bamboo basketry using traditional splitting techniques.,Sikkim,Art Form,Tribal Craft,National Crafts Museum
Mizo Cheraw,Bamboo dance performed between clashing poles during festivals.,Mizoram,Performing Arts,Folk Dance,North East Zone Cultural Centre
Warli Marriage Ritual,Adiwasi wedding ceremony with symbolic arrow shooting.,Maharashtra,Ritual,Life Cycle Ceremony,Anthropological Survey of India
Kashmiri Samovar,Brass kettle making with intricate chiseling and engraving.,Kashmir,Art Form,Metal Craft,National Crafts Museum
Toda Buffalo Races,Annual racing festival of specially bred dairy buffaloes.,Tamil Nadu,Festival,Tribal Festival,Tamil Nadu Tourism
Bhutia Lu Khangto,Ceremonial sword dance performed by men in traditional attire.,Sikkim,Performing Arts,Ritual Dance,Sikkim Tourism
Konyak Log Drum,Hollowed tree trunk percussion instrument for village communication.,Nagaland,Art Form,Musical Instrument,North East Zone Cultural Centre
Kashmiri Tilla Embroidery,Gold thread embroidery on pashmina shawls using aari needle.,Kashmir,Art Form,Textile Art,National Crafts Museum
Tulunadu Nagamandala,Serpent worship ritual creating elaborate floor art with natural dyes.,Karnataka,Ritual,Tribal Ritual,Karnataka Tourism
Mappila Mappilapattu,Islamic folk songs blending Arab and Malayalam musical styles.,Kerala,Performing Arts,Folk Music,Sangeet Natak Akademi
Santhal Dhodha Banam,Single-string tribal fiddle made from coconut shell and bamboo.,Jharkhand,Art Form,Musical Instrument,National Crafts Museum
Karbi Rongker,Annual village protection ritual with symbolic bamboo fencing.,Assam,Ritual,Tribal Ritual,Assam Tourism
