input ,output,instruction,prompt
:question: What are the popular dishes in Chennai?,"Idli, Dosa, Vada, Pongal.","Answer the question truthfully, you are a travel expert.","List popular dishes from Chennai, India."
:question: Plan a 5-day itinerary for Kolkata. ,"Day 1: Victoria Memorial, Howrah Bridge. Day 2: St. Paul's Cathedral, Indian Museum. Day 3: Dakshineswar Kali Temple, Belur Math. Day 4: Millennium Park, Nandan. Day 5: Eden Gardens, Princep Ghat.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Kolkata, India."
:question: What are the popular dishes in Kolkata?,"Luchi, Alur Dum, Fish Fry, Mishti Doi.","Answer the question truthfully, you are a travel expert.","List popular dishes from Kolkata, India."
:question: Plan a 5-day itinerary for Bengaluru. ,"Day 1: Cubbon Park, Vidhana Soudha. Day 2: Lalbagh Botanical Garden, Bannerghatta National Park. Day 3: ISKCON Temple, Bull Temple. Day 4: Nandi Hills, Bheemeshwari. Day 5: Ulsoor Lake, Innovative Film City.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Bengaluru, India."
:question: What are the popular dishes in Bengaluru?,"Idli, Vada, Dosa, Rava Upma.","Answer the question truthfully, you are a travel expert.","List popular dishes from Bengaluru, India."
:question: Plan a 5-day itinerary for Delhi. ,"Day 1: Red Fort, India Gate. Day 2: Lotus Temple, Qutub Minar. Day 3: Humayun's Tomb, Rajghat. Day 4: Akshardham Temple, Hauz Khas. Day 5: Chandni Chowk, Lodhi Garden.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Delhi, India."
:question: What are the popular dishes in Delhi?,"Chaat, Paratha, Butter Chicken, Biryani.","Answer the question truthfully, you are a travel expert.","List popular dishes from Delhi, India."
:question: Plan a 5-day itinerary for Ahmedabad. ,"Day 1: Sabarmati Ashram, Adalaj Stepwell. Day 2: Sidi Saiyyed Mosque, Kankaria Lake. Day 3: Auto World Vintage Car Museum, Manek Chowk. Day 4: Calico Museum of Textiles, Akshardham Temple. Day 5: Teen Darwaza, Sidi Bashir Mosque.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Ahmedabad, India."
:question: What are the popular dishes in Ahmedabad?,"Dhokla, Jalebi, Kadhi, Thepla.","Answer the question truthfully, you are a travel expert.","List popular dishes from Ahmedabad, India."
:question: What are the popular dishes in Hyderabad?,"Biryani, Haleem, Nihari, Qubani Rooz.","Answer the question truthfully, you are a travel expert.","List popular dishes from Hyderabad, India."
:question: Plan a 5-day itinerary for Hyderabad. ,"Day 1: Charminar, Chowmahalla Palace. Day 2: Golkonda Fort, Qutub Shahi Tombs. Day 3: Salar Jung Museum, Nehru Zoological Park. Day 4: Ramoji Film City, Hussain Sagar Lake. Day 5: Birla Mandir, Lumbini Park.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Hyderabad, India."
:question: What are the popular dishes in Mumbai?,"Vada Pav, Misal Pav, Pav Bhaji, Dhokla.","Answer the question truthfully, you are a travel expert.","List popular dishes from Mumbai, India."
:question: Plan a 5-day itinerary for Mumbai. ,"Day 1: Gateway of India, Elephanta Caves. Day 2: Marine Drive, Chhatrapati Shivaji Terminus. Day 3: Siddhivinayak Temple, Haji Ali Dargah. Day 4: Bandra-Worli Sea Link, Juhu Beach. Day 5: Colaba Causeway, CST Suburban Rail.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Mumbai, India."
:question: What are the popular dishes in Delhi?,"Chaat, Paratha, Butter Chicken, Biryani.","Answer the question truthfully, you are a travel expert.","List popular dishes from Delhi, India."
:question: Plan a 5-day itinerary for Kolkata. ,"Day 1: Victoria Memorial, Howrah Bridge. Day 2: St. Paul's Cathedral, Indian Museum. Day 3: Dakshineswar Kali Temple, Belur Math. Day 4: Millennium Park, Nandan. Day 5: Eden Gardens, Princep Ghat.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Kolkata, India."
:question: What are the popular dishes in Kolkata?,"Luchi, Alur Dum, Fish Fry, Mishti Doi.","Answer the question truthfully, you are a travel expert.","List popular dishes from Kolkata, India."
:question: What are the popular dishes in Chennai?,"Idli, Dosa, Vada, Pongal.","Answer the question truthfully, you are a travel expert.","List popular dishes from Chennai, India."
:question: Plan a 5-day itinerary for Chennai. ,"Day 1: Marina Beach, Kapaleeshwarar Temple. Day 2: Mahabalipuram, Thiruvanmiyur Beach. Day 3: San Thome Cathedral, Fort St. George. Day 4: Muttukadu, Mahabalipuram Beach. Day 5: Kovalam, Elliot's Beach.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Chennai, India."
:question: What are the popular dishes in Bengaluru?,"Idli, Vada, Dosa, Rava Upma.","Answer the question truthfully, you are a travel expert.","List popular dishes from Bengaluru, India."
:question: Plan a 5-day itinerary for Bengaluru. ,"Day 1: Cubbon Park, Vidhana Soudha. Day 2: Lalbagh Botanical Garden, Bannerghatta National Park. Day 3: ISKCON Temple, Bull Temple. Day 4: Nandi Hills, Bheemeshwari. Day 5: Ulsoor Lake, Innovative Film City.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Bengaluru, India."
:question: What are the popular dishes in Ahmedabad?,"Dhokla, Jalebi, Kadhi, Thepla.","Answer the question truthfully, you are a travel expert.","List popular dishes from Ahmedabad, India."
:question: Plan a 5-day itinerary for Ahmedabad. ,"Day 1: Sabarmati Ashram, Adalaj Stepwell. Day 2: Sidi Saiyyed Mosque, Kankaria Lake. Day 3: Auto World Vintage Car Museum, Manek Chowk. Day 4: Calico Museum of Textiles, Akshardham Temple. Day 5: Teen Darwaza, Sidi Bashir Mosque.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Ahmedabad, India."
:question: What are the popular dishes in Hyderabad?,"Biryani, Haleem, Nihari, Qubani Rooz.","Answer the question truthfully, you are a travel expert.","List popular dishes from Hyderabad, India."
:question: Plan a 5-day itinerary for Hyderabad. ,"Day 1: Charminar, Chowmahalla Palace. Day 2: Golkonda Fort, Qutub Shahi Tombs. Day 3: Salar Jung Museum, Nehru Zoological Park. Day 4: Ramoji Film City, Hussain Sagar Lake. Day 5: Birla Mandir, Lumbini Park.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Hyderabad, India."
:question: What are the popular dishes in Jaipur?,"Dal Baati Churma, Gatte Ki Sabzi, Kachori, Mirchi Vada.","Answer the question truthfully, you are a travel expert.","List popular dishes from Jaipur, India."
:question: Plan a 5-day itinerary for Jaipur. ,"Day 1: Hawa Mahal, Jantar Mantar. Day 2: Amer Fort, Jaigarh Fort. Day 3: City Palace, Jal Mahal. Day 4: Nahargarh Fort, Monkey Temple. Day 5: Amber Fort Light Show, Albert Hall Museum.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Jaipur, India."
:question: What are the popular dishes in Lucknow?,"Biryani, Galauti Kebab, Tunday Kebab, Sheermal.","Answer the question truthfully, you are a travel expert.","List popular dishes from Lucknow, India."
:question: Plan a 5-day itinerary for Lucknow. ,"Day 1: Bara Imambara, Chhota Imambara. Day 2: Rumi Darwaza, Husainabad Clock Tower. Day 3: La Martiniere College, Ambedkar Park. Day 4: Dilkusha Kothi, Janeshwar Mishra Park. Day 5: Vidhan Sabha, Hazratganj.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Lucknow, India."
:question: What are the popular dishes in Agra?,"Petha, Dal Moth, Kachori, Tikka.","Answer the question truthfully, you are a travel expert.","List popular dishes from Agra, India."
:question: What are the popular dishes in Kolkata?,"Rasgulla, Luchi, Alur Dom, Chingri Malaikari.","Answer the question truthfully, you are a travel expert.","List popular dishes from Kolkata, India."
:question: Plan a 5-day itinerary for Kolkata. ,"Day 1: Victoria Memorial, St. Paul's Cathedral. Day 2: Howrah Bridge, Dakshineswar Temple. Day 3: Eden Gardens, Mother's Wax Museum. Day 4: Belur Math, Millenium Park. Day 5: Science City, Princep Ghat.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Kolkata, India."
:question: What are the popular dishes in Chennai?,"Dosa, Idli, Vadai, Pongal.","Answer the question truthfully, you are a travel expert.","List popular dishes from Chennai, India."
:question: Plan a 5-day itinerary for Chennai. ,"Day 1: Marina Beach, Kapaleeshwarar Temple. Day 2: Mahabalipuram, Kovalam Beach. Day 3: Vadapalani, Vellore. Day 4: Elliot's Beach, DakshinaChitra. Day 5: Guindy National Park, Phoenix Marketcity.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Chennai, India."
:question: What are the popular dishes in Bangalore?,"Idli, Vada, Dosa, Rava Upma.","Answer the question truthfully, you are a travel expert.","List popular dishes from Bangalore, India."
:question: Plan a 5-day itinerary for Bangalore. ,"Day 1: Cubbon Park, Vidhana Soudha. Day 2: Lalbagh Botanical Garden, Bannerghatta National Park. Day 3: ISKCON Temple, Bull Temple. Day 4: Nandi Hills, Bheemeshwari. Day 5: Ulsoor Lake, Innovative Film City.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Bangalore, India."
:question: What are the popular dishes in Mumbai?,"Vada Pav, Pav Bhaji, Dhokla, Misal Pav.","Answer the question truthfully, you are a travel expert.","List popular dishes from Mumbai, India."
:question: Plan a 5-day itinerary for Mumbai. ,"Day 1: Gateway of India, Elephanta Caves. Day 2: Marine Drive, Juhu Beach. Day 3: Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Haji Ali Dargah. Day 4: Bandra-Worli Sea Link, Siddhivinayak Temple. Day 5: Colaba Causeway Market, Marine Drive.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Mumbai, India."
:question: What are the popular dishes in Pune?,"Vada Pav, Misal Pav, Puran Poli, Ukdiche Modak.","Answer the question truthfully, you are a travel expert.","List popular dishes from Pune, India."
:question: Plan a 5-day itinerary for Pune. ,"Day 1: Aga Khan Palace, Shaniwar Wada. Day 2: Sinhagad Fort, Pataleshwar Cave Temple. Day 3: Empress Garden, Raja Dinkar Kelkar Museum. Day 4: Rajiv Gandhi Zoological Park, Vetal Hill. Day 5: Laxminarayan Temple, Osho Commune International.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Pune, India."
:question: What are the popular dishes in Hyderabad?,"Biryani, Haleem, Nihari, Qubani Rooz.","Answer the question truthfully, you are a travel expert.","List popular dishes from Hyderabad, India."
:question: Plan a 5-day itinerary for Hyderabad. ,"Day 1: Charminar, Chowmahalla Palace. Day 2: Golkonda Fort, Qutub Shahi Tombs. Day 3: Salar Jung Museum, Nehru Zoological Park. Day 4: Ramoji Film City, Hussain Sagar Lake. Day 5: Birla Mandir, Lumbini Park.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Hyderabad, India."
:question: What are the popular dishes in Kolkata?,"Rasgulla, Luchi, Alur Dom, Chingri Malaikari.","Answer the question truthfully, you are a travel expert.","List popular dishes from Kolkata, India."
:question: Plan a 5-day itinerary for Kolkata. ,"Day 1: Victoria Memorial, St. Paul's Cathedral. Day 2: Howrah Bridge, Dakshineswar Temple. Day 3: Eden Gardens, Mother's Wax Museum. Day 4: Belur Math, Millenium Park. Day 5: Science City, Princep Ghat.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Kolkata, India."
:question: What are the popular dishes in Chennai?,"Dosa, Idli, Vadai, Pongal.","Answer the question truthfully, you are a travel expert.","List popular dishes from Chennai, India."
:question: Plan a 5-day itinerary for Chennai. ,"Day 1: Marina Beach, Kapaleeshwarar Temple. Day 2: Mahabalipuram, Kovalam Beach. Day 3: Vadapalani, Vellore. Day 4: Elliot's Beach, DakshinaChitra. Day 5: Guindy National Park, Phoenix Marketcity.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Chennai, India."
:question: What are the popular dishes in Bangalore?,"Idli, Vada, Dosa, Rava Upma.","Answer the question truthfully, you are a travel expert.","List popular dishes from Bangalore, India."
:question: Plan a 5-day itinerary for Bangalore. ,"Day 1: Cubbon Park, Vidhana Soudha. Day 2: Lalbagh Botanical Garden, Bannerghatta National Park. Day 3: ISKCON Temple, Bull Temple. Day 4: Nandi Hills, Bheemeshwari. Day 5: Ulsoor Lake, Innovative Film City.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Bangalore, India."
:question: What are the popular dishes in Delhi?,"Chaat, Paratha, Butter Chicken, Rajma Chawal.","Answer the question truthfully, you are a travel expert.","List popular dishes from Delhi, India."
:question: What are the popular dishes in Mumbai?,"Vada Pav, Pav Bhaji, Masala Dosa, Pani Puri.","Answer the question truthfully, you are a travel expert.","List popular dishes from Mumbai, India."
:question: Plan a 5-day itinerary for Mumbai. ,"Day 1: Gateway of India, Marine Drive. Day 2: Elephanta Caves, Bandra-Worli Sea Link. Day 3: Haji Ali Dargah, Chhatrapati Shivaji Maharaj Vastu Sangrahalaya. Day 4: Juhu Beach, Sanjay Gandhi National Park. Day 5: Siddhivinayak Temple, Colaba Causeway.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Mumbai, India."
:question: What are the popular dishes in Ahmedabad?,"Dhokla, Thepla, Khandvi, Undhiyu.","Answer the question truthfully, you are a travel expert.","List popular dishes from Ahmedabad, India."
:question: Plan a 5-day itinerary for Ahmedabad. ,"Day 1: Sabarmati Ashram, Adalaj Stepwell. Day 2: Kankaria Lake, Akshardham Temple. Day 3: Calico Museum of Textiles, Sidi Saiyyed Mosque. Day 4: Auto World Vintage Car Museum, Dandi Kutir. Day 5: Riverfront Night Market, Law Garden Night Market.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Ahmedabad, India."
:question: What are the popular dishes in Pune?,"Vada Pav, Misal Pav, Puran Poli, Ukdiche Modak.","Answer the question truthfully, you are a travel expert.","List popular dishes from Pune, India."
:question: Plan a 5-day itinerary for Pune. ,"Day 1: Aga Khan Palace, Shaniwar Wada. Day 2: Sinhagad Fort, Pataleshwar Cave Temple. Day 3: Empress Garden, Raja Dinkar Kelkar Museum. Day 4: Rajiv Gandhi Zoological Park, Vetal Hill. Day 5: Laxminarayan Temple, Osho Commune International.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Pune, India."
:question: What are the popular dishes in Hyderabad?,"Biryani, Haleem, Nihari, Qubani Rooz.","Answer the question truthfully, you are a travel expert.","List popular dishes from Hyderabad, India."
:question: Plan a 5-day itinerary for Hyderabad. ,"Day 1: Charminar, Chowmahalla Palace. Day 2: Golkonda Fort, Qutub Shahi Tombs. Day 3: Salar Jung Museum, Nehru Zoological Park. Day 4: Ramoji Film City, Hussain Sagar Lake. Day 5: Birla Mandir, Lumbini Park.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Hyderabad, India."
:question: What are the popular dishes in Kolkata?,"Rasgulla, Luchi, Alur Dom, Chingri Malaikari.","Answer the question truthfully, you are a travel expert.","List popular dishes from Kolkata, India."
:question: Plan a 5-day itinerary for Kolkata. ,"Day 1: Victoria Memorial, St. Paul's Cathedral. Day 2: Howrah Bridge, Dakshineswar Temple. Day 3: Eden Gardens, Mother's Wax Museum. Day 4: Belur Math, Millenium Park. Day 5: Science City, Princep Ghat.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Kolkata, India."
:question: What are the popular dishes in Chennai?,"Dosa, Idli, Vadai, Pongal.","Answer the question truthfully, you are a travel expert.","List popular dishes from Chennai, India."
:question: Plan a 5-day itinerary for Chennai. ,"Day 1: Marina Beach, Kapaleeshwarar Temple. Day 2: Mahabalipuram, Kovalam Beach. Day 3: Vadapalani, Vellore. Day 4: Elliot's Beach, DakshinaChitra. Day 5: Guindy National Park, Phoenix Marketcity.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Chennai, India."
:question: What are the popular dishes in Bangalore?,"Idli, Vada, Dosa, Rava Upma.","Answer the question truthfully, you are a travel expert.","List popular dishes from Bangalore, India."
:question: Plan a 5-day itinerary for Bangalore. ,"Day 1: Cubbon Park, Vidhana Soudha. Day 2: Lalbagh Botanical Garden, Bannerghatta National Park. Day 3: ISKCON Temple, Bull Temple. Day 4: Nandi Hills, Bheemeshwari. Day 5: Ulsoor Lake, Innovative Film City.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Bangalore, India."
:question: What are the popular dishes in Delhi?,"Chaat, Paratha, Butter Chicken, Rajma Chawal.","Answer the question truthfully, you are a travel expert.","List popular dishes from Delhi, India."
:question: Plan a 5-day itinerary for Delhi. ,"Day 1: Red Fort, Qutub Minar. Day 2: India Gate, Lotus Temple. Day 3: Humayun's Tomb, Rajpath. Day 4: Akshardham Temple, Nehru Planetarium. Day 5: Jama Masjid, Chandni Chowk.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Delhi, India."
:question: What are the popular dishes in Jaipur?,"Dal Baati Churma, Gatte ki Sabji, Bajre ki Roti, Mirchi Vada.","Answer the question truthfully, you are a travel expert.","List popular dishes from Jaipur, India."
:question: Plan a 5-day itinerary for Jaipur. ,"Day 1: Hawa Mahal, City Palace. Day 2: Amber Fort, Jaigarh Fort. Day 3: Jantar Mantar, Nahargarh Fort. Day 4: Ranthambore National Park. Day 5: Amer Fort Light and Sound Show, Albert Hall Museum.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Jaipur, India."
:question: What are the popular dishes in Agra?,"Petha, Dal Moth, Tunday Kebab, Chaat.","Answer the question truthfully, you are a travel expert.","List popular dishes from Agra, India."
:question: What are the popular dishes in Mumbai?,"Vada Pav, Misal Pav, Pav Bhaji, Dhokla.","Answer the question truthfully, you are a travel expert.","List popular dishes from Mumbai, India."
:question: Plan a 5-day itinerary for Mumbai. ,"Day 1: Gateway of India, Marine Drive. Day 2: Elephanta Caves, Juhu Beach. Day 3: Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Haji Ali Dargah. Day 4: Bandra Bandstand, Sanjay Gandhi National Park. Day 5: Colaba Causeway, Marine Drive Night.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Mumbai, India."
:question: What are the popular dishes in Hyderabad?,"Biryani, Haleem, Nihari, Double Ka Meeta.","Answer the question truthfully, you are a travel expert.","List popular dishes from Hyderabad, India."
:question: Plan a 5-day itinerary for Hyderabad. ,"Day 1: Charminar, Chowmahalla Palace. Day 2: Ramoji Film City, Birla Mandir. Day 3: Nehru Zoological Park, Salar Jung Museum. Day 4: Hussain Sagar Lake, Necklace Road. Day 5: Lumbini Park, Golkonda Fort.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Hyderabad, India."
:question: What are the popular dishes in Kolkata?,"Rasgulla, Luchi, Alur Dom, Chingri Malaikari.","Answer the question truthfully, you are a travel expert.","List popular dishes from Kolkata, India."
:question: Plan a 5-day itinerary for Kolkata. ,"Day 1: Victoria Memorial, St. Paul's Cathedral. Day 2: Howrah Bridge, Dakshineswar Temple. Day 3: Eden Gardens, Mother's Wax Museum. Day 4: Belur Math, Millenium Park. Day 5: Science City, Princep Ghat.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Kolkata, India."
:question: What are the popular dishes in Chennai?,"Dosa, Idli, Vadai, Pongal.","Answer the question truthfully, you are a travel expert.","List popular dishes from Chennai, India."
:question: Plan a 5-day itinerary for Chennai. ,"Day 1: Marina Beach, Kapaleeshwarar Temple. Day 2: Mahabalipuram, Kovalam Beach. Day 3: Vadapalani, Vellore. Day 4: Elliot's Beach, DakshinaChitra. Day 5: Guindy National Park, Phoenix Marketcity.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Chennai, India."
:question: What are the popular dishes in Bangalore?,"Idli, Vada, Dosa, Rava Upma.","Answer the question truthfully, you are a travel expert.","List popular dishes from Bangalore, India."
:question: Plan a 5-day itinerary for Bangalore. ,"Day 1: Cubbon Park, Vidhana Soudha. Day 2: Lalbagh Botanical Garden, Bannerghatta National Park. Day 3: ISKCON Temple, Bull Temple. Day 4: Nandi Hills, Bheemeshwari. Day 5: Ulsoor Lake, Innovative Film City.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Bangalore, India."
:question: What are the popular dishes in Delhi?,"Chaat, Paratha, Butter Chicken, Rajma Chawal.","Answer the question truthfully, you are a travel expert.","List popular dishes from Delhi, India."
:question: Plan a 5-day itinerary for Delhi. ,"Day 1: Red Fort, Qutub Minar. Day 2: India Gate, Lotus Temple. Day 3: Humayun's Tomb, Rajpath. Day 4: Akshardham Temple, Nehru Planetarium. Day 5: Jama Masjid, Chandni Chowk.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Delhi, India."
:question: What are the popular dishes in Jaipur?,"Dal Baati Churma, Gatte ki Sabji, Bajre ki Roti, Mirchi Vada.","Answer the question truthfully, you are a travel expert.","List popular dishes from Jaipur, India."
:question: Plan a 5-day itinerary for Jaipur. ,"Day 1: Hawa Mahal, City Palace. Day 2: Amber Fort, Jaigarh Fort. Day 3: Jantar Mantar, Nahargarh Fort. Day 4: Ranthambore National Park. Day 5: Amer Fort Light and Sound Show, Albert Hall Museum.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Jaipur, India."
:question: What are the popular dishes in Agra?,"Petha, Dal Moth, Tunday Kebab, Chaat.","Answer the question truthfully, you are a travel expert.","List popular dishes from Agra, India."
:question: Plan a 5-day itinerary for Agra. ,"Day 1: Taj Mahal, Agra Fort. Day 2: Fatehpur Sikri, Mehtab Bagh. Day 3: Keoladeo Ghana National Park. Day 4: Itimad-ud-Daulah, Chini Ka Rauza. Day 5: Day of Leisure.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Agra, India."
:question: What are the popular dishes in Pune?,"Misal Pav, Vada Pav, Puran Poli, Bhaji.","Answer the question truthfully, you are a travel expert.","List popular dishes from Pune, India."
:question: Plan a 5-day itinerary for Pune. ,"Day 1: Aga Khan Palace, Shaniwar Wada. Day 2: Osho Ashram, Sinhagad Fort. Day 3: Rajdhani Chat, Vishrambag. Day 4: Dagduseth Halwai, Dhanvantri Temple. Day 5: Empress Garden, Bund Garden.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Pune, India."
:question: What are the popular dishes in Hyderabad?,"Biryani, Haleem, Nihari, Double Ka Meeta.","Answer the question truthfully, you are a travel expert.","List popular dishes from Hyderabad, India."
:question: Plan a 5-day itinerary for Hyderabad. ,"Day 1: Charminar, Chowmahalla Palace. Day 2: Ramoji Film City, Birla Mandir. Day 3: Nehru Zoological Park, Salar Jung Museum. Day 4: Hussain Sagar Lake, Necklace Road. Day 5: Lumbini Park, Golkonda Fort.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Hyderabad, India."
:question: Plan a 5-day itinerary for Mumbai. ,"Day 1: Gateway of India, Marine Drive. Day 2: Elephanta Caves, Juhu Beach. Day 3: Haji Ali Dargah, Siddhivinayak Temple. Day 4: Bandra-Worli Sea Link, Chhatrapati Shivaji Maharaj Vastu Sangrahalaya. Day 5: Colaba Causeway, Marine Drive.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Mumbai, India."
:question: What are the popular dishes in Chennai?,"Dosa, Idli, Vada, Rasam.","Answer the question truthfully, you are a travel expert.","List popular dishes from Chennai, India."
:question: Plan a 5-day itinerary for Chennai. ,"Day 1: Marina Beach, Kapaleeshwarar Temple. Day 2: Mahabalipuram, Kanchipuram. Day 3: Fort St. George, St. Thomas Mount. Day 4: Vadapalani Temple, Guindy National Park. Day 5: San Thome Cathedral, Besant Nagar Beach.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Chennai, India."
:question: What are the popular dishes in Kolkata?,"Luchi, Aloo Dum, Macher Jhol, Rosogolla.","Answer the question truthfully, you are a travel expert.","List popular dishes from Kolkata, India."
:question: Plan a 5-day itinerary for Kolkata. ,"Day 1: Victoria Memorial, Howrah Bridge. Day 2: St. Paul's Cathedral, Belur Math. Day 3: Eden Gardens, Indian Museum. Day 4: Dakshineswar Temple, Birla Mandir. Day 5: Nandan, Maidan.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Kolkata, India."
:question: What are the popular dishes in Goa?,"Vindaloo, Pork Curry, Xacuti, Sausages.","Answer the question truthfully, you are a travel expert.","List popular dishes from Goa, India."
:question: Plan a 5-day itinerary for Goa. ,"Day 1: Dudhsagar Waterfalls, Mollem National Park. Day 2: Calangute Beach, Fort Aguada. Day 3: Anjuna Beach, Chapora Fort. Day 4: Dona Paula Beach, Miramar Beach. Day 5: Old Goa Churches, Panjim.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Goa, India."
:question: What are the popular dishes in Kochi?,"Appam, Idiyappam, Puttu, Banana Chips.","Answer the question truthfully, you are a travel expert.","List popular dishes from Kochi, India."
:question: Plan a 5-day itinerary for Kochi. ,"Day 1: Fort Kochi, Chinese Fishing Nets. Day 2: Mattancherry Palace, Jewish Synagogue. Day 3: St. Francis Church, Hill Palace Museum. Day 4: Cherai Beach, Mangalavanam Bird Sanctuary. Day 5: Vypeen Island, Marine Drive.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Kochi, India."
:question: What are the popular dishes in Bhubaneswar?,"Dahi Vada, Rasgulla, Chakuli Pitha, Dahi Bara.","Answer the question truthfully, you are a travel expert.","List popular dishes from Bhubaneswar, India."
:question: Plan a 5-day itinerary for Bhubaneswar. ,"Day 1: Lingaraj Temple, Mukteswara Temple. Day 2: Rajarani Temple, Parsurameswar Temple. Day 3: Dhauli Peace Pagoda, Odisha State Museum. Day 4: Mukteswara Temple, Odisha Tribal Museum. Day 5: Day of Leisure.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Bhubaneswar, India."
:question: What are the popular dishes in Thiruvananthapuram?,"Puttu, Idiyappam, Appam, Banana Chips.","Answer the question truthfully, you are a travel expert.","List popular dishes from Thiruvananthapuram, India."
:question: Plan a 5-day itinerary for Thiruvananthapuram. ,"Day 1: Padmanabhaswamy Temple, Napier Museum. Day 2: Kovalam Beach, Vizhinjam Lighthouse. Day 3: Shanghumukham Beach, Veli Tourist Village. Day 4: Aazhimala, Thirumangalam. Day 5: Vellayani Lake, Kuthiramalika Palace.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Thiruvananthapuram, India."
:question: What are the popular dishes in Hyderabad?,"Biryani, Haleem, Nihari, Double Ka Meeta.","Answer the question truthfully, you are a travel expert.","List popular dishes from Hyderabad, India."
:question: Plan a 5-day itinerary for Hyderabad. ,"Day 1: Charminar, Chowmahalla Palace. Day 2: Ramoji Film City, Birla Mandir. Day 3: Nehru Zoological Park, Salar Jung Museum. Day 4: Hussain Sagar Lake, Necklace Road. Day 5: Lumbini Park, Golkonda Fort.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Hyderabad, India."
:question: What are the popular dishes in Delhi?,"Paratha, Butter Chicken, Rajma Chawal, Chaat.","Answer the question truthfully, you are a travel expert.","List popular dishes from Delhi, India."
:question: Plan a 5-day itinerary for Delhi. ,"Day 1: Red Fort, Qutub Minar. Day 2: India Gate, Lotus Temple. Day 3: Humayun's Tomb, Rajpath. Day 4: Akshardham Temple, Nehru Planetarium. Day 5: Jama Masjid, Chandni Chowk.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Delhi, India."
:question: What are the popular dishes in Mumbai?,"Vada Pav, Misal Pav, Pav Bhaji, Bhaji.","Answer the question truthfully, you are a travel expert.","List popular dishes from Mumbai, India."
:question: Plan a 5-day itinerary for Mumbai. ,"Day 1: Gateway of India, Marine Drive. Day 2: Elephanta Caves, Juhu Beach. Day 3: Haji Ali Dargah, Siddhivinayak Temple. Day 4: Bandra-Worli Sea Link, Chhatrapati Shivaji Maharaj Vastu Sangrahalaya. Day 5: Colaba Causeway, Marine Drive.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Mumbai, India."
:question: What are the popular dishes in Chennai?,"Dosa, Idli, Sambar, Rasam.","Answer the question truthfully, you are a travel expert.","List popular dishes from Chennai, India."
